DesignName,ParticipantID,TrialID,Block1,F,Z,Time,ErrorCount
Momote,121,9,1,Top,Far,36.42528,0
Momote,122,9,2,Back,Normal,13.21366,0
Momote,123,9,3,Left,Far,13.9155,0
Momote,124,9,4,Right,Normal,5.239761,0
Momote,125,9,5,Bottom,Far,12.11758,0
Momote,126,9,6,Left,Normal,9.887177,0
Momote,127,9,7,Top,Normal,6.356781,0
Momote,128,9,8,Right,Far,11.58212,0
Momote,129,9,9,Right,Close,7.073883,0
Momote,130,9,10,Left,Close,8.374573,0
Momote,131,9,11,Bottom,Normal,8.674423,0
Momote,132,9,12,Top,Close,6.455978,0
Momote,133,9,13,Back,Far,13.20624,0
Momote,134,9,14,Back,Close,7.372604,0
Momote,135,9,15,Bottom,Close,8.969727,0
