DesignName,ParticipantID,TrialID,Block1,F,Z
Momote,1,1,1,Right,Close
Momote,1,2,2,Right,Far
Momote,1,3,3,Top,Close
Momote,1,4,4,Top,Far
Momote,1,5,5,Left,Close
Momote,1,6,6,Bottom,Far
Momote,1,7,7,Left,Far
Momote,1,8,8,Back,Close
Momote,1,9,9,Top,Normal
Momote,1,10,10,Bottom,Normal
Momote,1,11,11,Back,Far
Momote,1,12,12,Left,Normal
Momote,1,13,13,Bottom,Close
Momote,1,14,14,Right,Normal
Momote,1,15,15,Back,Normal
Momote,2,16,1,Right,Normal
Momote,2,17,2,Bottom,Close
Momote,2,18,3,Top,Normal
Momote,2,19,4,Back,Close
Momote,2,20,5,Left,Normal
Momote,2,21,6,Top,Close
Momote,2,22,7,Right,Close
Momote,2,23,8,Back,Normal
Momote,2,24,9,Top,Far
Momote,2,25,10,Bottom,Far
Momote,2,26,11,Left,Close
Momote,2,27,12,Left,Far
Momote,2,28,13,Bottom,Normal
Momote,2,29,14,Right,Far
Momote,2,30,15,Back,Far
Momote,3,31,1,Right,Far
Momote,3,32,2,Bottom,Normal
Momote,3,33,3,Top,Far
Momote,3,34,4,Back,Normal
Momote,3,35,5,Left,Far
Momote,3,36,6,Top,Normal
Momote,3,37,7,Right,Normal
Momote,3,38,8,Back,Far
Momote,3,39,9,Back,Close
Momote,3,40,10,Top,Close
Momote,3,41,11,Left,Normal
Momote,3,42,12,Right,Close
Momote,3,43,13,Bottom,Far
Momote,3,44,14,Bottom,Close
Momote,3,45,15,Left,Close
Momote,4,46,1,Bottom,Close
Momote,4,47,2,Bottom,Far
Momote,4,48,3,Back,Close
Momote,4,49,4,Back,Far
Momote,4,50,5,Right,Close
Momote,4,51,6,Top,Far
Momote,4,52,7,Right,Far
Momote,4,53,8,Left,Close
Momote,4,54,9,Back,Normal
Momote,4,55,10,Top,Normal
Momote,4,56,11,Left,Far
Momote,4,57,12,Right,Normal
Momote,4,58,13,Top,Close
Momote,4,59,14,Bottom,Normal
Momote,4,60,15,Left,Normal
Momote,5,61,1,Bottom,Normal
Momote,5,62,2,Top,Close
Momote,5,63,3,Back,Normal
Momote,5,64,4,Left,Close
Momote,5,65,5,Right,Normal
Momote,5,66,6,Back,Close
Momote,5,67,7,Bottom,Close
Momote,5,68,8,Left,Normal
Momote,5,69,9,Back,Far
Momote,5,70,10,Top,Far
Momote,5,71,11,Right,Close
Momote,5,72,12,Right,Far
Momote,5,73,13,Top,Normal
Momote,5,74,14,Bottom,Far
Momote,5,75,15,Left,Far
Momote,6,76,1,Bottom,Far
Momote,6,77,2,Top,Normal
Momote,6,78,3,Back,Far
Momote,6,79,4,Left,Normal
Momote,6,80,5,Right,Far
Momote,6,81,6,Back,Normal
Momote,6,82,7,Bottom,Normal
Momote,6,83,8,Left,Far
Momote,6,84,9,Left,Close
Momote,6,85,10,Back,Close
Momote,6,86,11,Right,Normal
Momote,6,87,12,Bottom,Close
Momote,6,88,13,Top,Far
Momote,6,89,14,Top,Close
Momote,6,90,15,Right,Close
Momote,7,91,1,Top,Close
Momote,7,92,2,Top,Far
Momote,7,93,3,Left,Close
Momote,7,94,4,Left,Far
Momote,7,95,5,Bottom,Close
Momote,7,96,6,Back,Far
Momote,7,97,7,Bottom,Far
Momote,7,98,8,Right,Close
Momote,7,99,9,Left,Normal
Momote,7,100,10,Back,Normal
Momote,7,101,11,Right,Far
Momote,7,102,12,Bottom,Normal
Momote,7,103,13,Back,Close
Momote,7,104,14,Top,Normal
Momote,7,105,15,Right,Normal
Momote,8,106,1,Top,Normal
Momote,8,107,2,Back,Close
Momote,8,108,3,Left,Normal
Momote,8,109,4,Right,Close
Momote,8,110,5,Bottom,Normal
Momote,8,111,6,Left,Close
Momote,8,112,7,Top,Close
Momote,8,113,8,Right,Normal
Momote,8,114,9,Left,Far
Momote,8,115,10,Back,Far
Momote,8,116,11,Bottom,Close
Momote,8,117,12,Bottom,Far
Momote,8,118,13,Back,Normal
Momote,8,119,14,Top,Far
Momote,8,120,15,Right,Far
Momote,9,121,1,Top,Far
Momote,9,122,2,Back,Normal
Momote,9,123,3,Left,Far
Momote,9,124,4,Right,Normal
Momote,9,125,5,Bottom,Far
Momote,9,126,6,Left,Normal
Momote,9,127,7,Top,Normal
Momote,9,128,8,Right,Far
Momote,9,129,9,Right,Close
Momote,9,130,10,Left,Close
Momote,9,131,11,Bottom,Normal
Momote,9,132,12,Top,Close
Momote,9,133,13,Back,Far
Momote,9,134,14,Back,Close
Momote,9,135,15,Bottom,Close
Momote,10,136,1,Back,Close
Momote,10,137,2,Back,Far
Momote,10,138,3,Right,Close
Momote,10,139,4,Right,Far
Momote,10,140,5,Top,Close
Momote,10,141,6,Left,Far
Momote,10,142,7,Top,Far
Momote,10,143,8,Bottom,Close
Momote,10,144,9,Right,Normal
Momote,10,145,10,Left,Normal
Momote,10,146,11,Bottom,Far
Momote,10,147,12,Top,Normal
Momote,10,148,13,Left,Close
Momote,10,149,14,Back,Normal
Momote,10,150,15,Bottom,Normal
Momote,11,151,1,Back,Normal
Momote,11,152,2,Left,Close
Momote,11,153,3,Right,Normal
Momote,11,154,4,Bottom,Close
Momote,11,155,5,Top,Normal
Momote,11,156,6,Right,Close
Momote,11,157,7,Back,Close
Momote,11,158,8,Bottom,Normal
Momote,11,159,9,Right,Far
Momote,11,160,10,Left,Far
Momote,11,161,11,Top,Close
Momote,11,162,12,Top,Far
Momote,11,163,13,Left,Normal
Momote,11,164,14,Back,Far
Momote,11,165,15,Bottom,Far
Momote,12,166,1,Back,Far
Momote,12,167,2,Left,Normal
Momote,12,168,3,Right,Far
Momote,12,169,4,Bottom,Normal
Momote,12,170,5,Top,Far
Momote,12,171,6,Right,Normal
Momote,12,172,7,Back,Normal
Momote,12,173,8,Bottom,Far
Momote,12,174,9,Bottom,Close
Momote,12,175,10,Right,Close
Momote,12,176,11,Top,Normal
Momote,12,177,12,Back,Close
Momote,12,178,13,Left,Far
Momote,12,179,14,Left,Close
Momote,12,180,15,Top,Close
Momote,13,181,1,Left,Close
Momote,13,182,2,Left,Far
Momote,13,183,3,Bottom,Close
Momote,13,184,4,Bottom,Far
Momote,13,185,5,Back,Close
Momote,13,186,6,Right,Far
Momote,13,187,7,Back,Far
Momote,13,188,8,Top,Close
Momote,13,189,9,Bottom,Normal
Momote,13,190,10,Right,Normal
Momote,13,191,11,Top,Far
Momote,13,192,12,Back,Normal
Momote,13,193,13,Right,Close
Momote,13,194,14,Left,Normal
Momote,13,195,15,Top,Normal
Momote,14,196,1,Left,Normal
Momote,14,197,2,Right,Close
Momote,14,198,3,Bottom,Normal
Momote,14,199,4,Top,Close
Momote,14,200,5,Back,Normal
Momote,14,201,6,Bottom,Close
Momote,14,202,7,Left,Close
Momote,14,203,8,Top,Normal
Momote,14,204,9,Bottom,Far
Momote,14,205,10,Right,Far
Momote,14,206,11,Back,Close
Momote,14,207,12,Back,Far
Momote,14,208,13,Right,Normal
Momote,14,209,14,Left,Far
Momote,14,210,15,Top,Far
Momote,15,211,1,Left,Far
Momote,15,212,2,Right,Normal
Momote,15,213,3,Bottom,Far
Momote,15,214,4,Top,Normal
Momote,15,215,5,Back,Far
Momote,15,216,6,Bottom,Normal
Momote,15,217,7,Left,Normal
Momote,15,218,8,Top,Far
Momote,15,219,9,Top,Close
Momote,15,220,10,Bottom,Close
Momote,15,221,11,Back,Normal
Momote,15,222,12,Left,Close
Momote,15,223,13,Right,Far
Momote,15,224,14,Right,Close
Momote,15,225,15,Back,Close
