DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z
MoMote,1,1,1,1,Phone,Top,Close
MoMote,1,2,1,2,Phone,Top,Far
MoMote,1,3,1,3,Phone,Back,Close
MoMote,1,4,1,4,Phone,Back,Far
MoMote,1,5,1,5,Phone,Right,Close
MoMote,1,6,1,6,Phone,Bottom,Far
MoMote,1,7,1,7,Phone,Right,Far
MoMote,1,8,1,8,Phone,Left,Close
MoMote,1,9,1,9,Phone,Back,Normal
MoMote,1,10,1,10,Phone,Bottom,Normal
MoMote,1,11,1,11,Phone,Left,Far
MoMote,1,12,1,12,Phone,Right,Normal
MoMote,1,13,1,13,Phone,Bottom,Close
MoMote,1,14,1,14,Phone,Top,Normal
MoMote,1,15,1,15,Phone,Left,Normal
MoMote,1,16,1,16,Phone,Right,Far
MoMote,1,17,1,17,Phone,Back,Normal
MoMote,1,18,1,18,Phone,Bottom,Close
MoMote,1,19,1,19,Phone,Left,Normal
MoMote,1,20,1,20,Phone,Back,Far
MoMote,1,21,1,21,Phone,Right,Normal
MoMote,1,22,1,22,Phone,Bottom,Far
MoMote,1,23,1,23,Phone,Top,Close
MoMote,1,24,1,24,Phone,Top,Normal
MoMote,1,25,1,25,Phone,Left,Far
MoMote,1,26,1,26,Phone,Back,Close
MoMote,1,27,1,27,Phone,Right,Close
MoMote,1,28,1,28,Phone,Bottom,Normal
MoMote,1,29,1,29,Phone,Left,Close
MoMote,1,30,1,30,Phone,Top,Far
MoMote,1,31,2,1,MoMote,Top,Close
MoMote,1,32,2,2,MoMote,Top,Far
MoMote,1,33,2,3,MoMote,Back,Close
MoMote,1,34,2,4,MoMote,Back,Far
MoMote,1,35,2,5,MoMote,Right,Close
MoMote,1,36,2,6,MoMote,Bottom,Far
MoMote,1,37,2,7,MoMote,Right,Far
MoMote,1,38,2,8,MoMote,Left,Close
MoMote,1,39,2,9,MoMote,Back,Normal
MoMote,1,40,2,10,MoMote,Bottom,Normal
MoMote,1,41,2,11,MoMote,Left,Far
MoMote,1,42,2,12,MoMote,Right,Normal
MoMote,1,43,2,13,MoMote,Bottom,Close
MoMote,1,44,2,14,MoMote,Top,Normal
MoMote,1,45,2,15,MoMote,Left,Normal
MoMote,1,46,2,16,MoMote,Right,Far
MoMote,1,47,2,17,MoMote,Back,Normal
MoMote,1,48,2,18,MoMote,Bottom,Close
MoMote,1,49,2,19,MoMote,Left,Normal
MoMote,1,50,2,20,MoMote,Back,Far
MoMote,1,51,2,21,MoMote,Right,Normal
MoMote,1,52,2,22,MoMote,Bottom,Far
MoMote,1,53,2,23,MoMote,Top,Close
MoMote,1,54,2,24,MoMote,Top,Normal
MoMote,1,55,2,25,MoMote,Left,Far
MoMote,1,56,2,26,MoMote,Back,Close
MoMote,1,57,2,27,MoMote,Right,Close
MoMote,1,58,2,28,MoMote,Bottom,Normal
MoMote,1,59,2,29,MoMote,Left,Close
MoMote,1,60,2,30,MoMote,Top,Far
MoMote,2,61,1,1,MoMote,Top,Normal
MoMote,2,62,1,2,MoMote,Bottom,Close
MoMote,2,63,1,3,MoMote,Back,Normal
MoMote,2,64,1,4,MoMote,Left,Close
MoMote,2,65,1,5,MoMote,Right,Normal
MoMote,2,66,1,6,MoMote,Back,Close
MoMote,2,67,1,7,MoMote,Top,Close
MoMote,2,68,1,8,MoMote,Left,Normal
MoMote,2,69,1,9,MoMote,Back,Far
MoMote,2,70,1,10,MoMote,Bottom,Far
MoMote,2,71,1,11,MoMote,Right,Close
MoMote,2,72,1,12,MoMote,Right,Far
MoMote,2,73,1,13,MoMote,Bottom,Normal
MoMote,2,74,1,14,MoMote,Top,Far
MoMote,2,75,1,15,MoMote,Left,Far
MoMote,2,76,1,16,MoMote,Top,Close
MoMote,2,77,1,17,MoMote,Back,Far
MoMote,2,78,1,18,MoMote,Bottom,Normal
MoMote,2,79,1,19,MoMote,Left,Far
MoMote,2,80,1,20,MoMote,Left,Close
MoMote,2,81,1,21,MoMote,Right,Far
MoMote,2,82,1,22,MoMote,Back,Close
MoMote,2,83,1,23,MoMote,Top,Normal
MoMote,2,84,1,24,MoMote,Top,Far
MoMote,2,85,1,25,MoMote,Right,Close
MoMote,2,86,1,26,MoMote,Back,Normal
MoMote,2,87,1,27,MoMote,Right,Normal
MoMote,2,88,1,28,MoMote,Bottom,Far
MoMote,2,89,1,29,MoMote,Left,Normal
MoMote,2,90,1,30,MoMote,Bottom,Close
MoMote,2,91,2,1,Phone,Top,Normal
MoMote,2,92,2,2,Phone,Bottom,Close
MoMote,2,93,2,3,Phone,Back,Normal
MoMote,2,94,2,4,Phone,Left,Close
MoMote,2,95,2,5,Phone,Right,Normal
MoMote,2,96,2,6,Phone,Back,Close
MoMote,2,97,2,7,Phone,Top,Close
