DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,1,1,1,1,Phone,Top,Close,3781.909,3249.775,532.134,0
Momote,1,2,1,2,Phone,Top,Far,4495.545,3896.535,599.01,0
Momote,1,3,1,3,Phone,Back,Close,3781.718,3182.029,599.689,0
Momote,1,4,1,4,Phone,Back,Far,3099.611,2498.264,601.347,0
Momote,1,5,1,5,Phone,Right,Close,4393.228,3459.69,933.538,0
Momote,1,6,1,6,Phone,Bottom,Far,2767.339,2166.182,601.157,0
Momote,1,7,1,7,Phone,Right,Far,9116.595,8449.066,667.529,0
Momote,1,8,1,8,Phone,Left,Close,2735.585,2034.748,700.837,0
Momote,1,9,1,9,Phone,Back,Normal,3264.666,2730.182,534.484,0
Momote,1,10,1,10,Phone,Bottom,Normal,2170.08,1603.159,566.921,0
Momote,1,11,1,11,Phone,Left,Far,3828.282,3198.413,629.869,0
Momote,1,12,1,12,Phone,Right,Normal,3364.107,2896.297,467.81,0
Momote,1,13,1,13,Phone,Bottom,Close,2633.951,2165.83,468.121,0
Momote,1,14,1,14,Phone,Top,Normal,3662.388,2996.974,665.414,0
Momote,1,15,1,15,Phone,Left,Normal,2997.322,2298.83,698.492,0
Momote,1,16,1,16,Phone,Right,Far,3996.822,3330.057,666.765,0
Momote,1,17,1,17,Phone,Back,Normal,2766.198,2099.745,666.453,0
Momote,1,18,1,18,Phone,Bottom,Close,2550.151,1917.291,632.86,0
Momote,1,19,1,19,Phone,Left,Normal,2360.119,1894.642,465.477,0
Momote,1,20,1,20,Phone,Back,Far,2965.026,2466.158,498.868,0
Momote,1,21,1,21,Phone,Right,Normal,3296.293,2695.772,600.521,0
Momote,1,22,1,22,Phone,Bottom,Far,3664.623,3134.881,529.742,0
Momote,1,23,1,23,Phone,Top,Close,3502.134,2864.599,637.535,0
Momote,1,24,1,24,Phone,Top,Normal,2965.529,2465.872,499.657,0
Momote,1,25,1,25,Phone,Left,Far,2465.86,1899.555,566.305,0
Momote,1,26,1,26,Phone,Back,Close,3064.691,2531.38,533.311,0
Momote,1,27,1,27,Phone,Right,Close,3397.336,2765.529,631.807,0
Momote,1,28,1,28,Phone,Bottom,Normal,2034.849,1368.339,666.51,0
Momote,1,29,1,29,Phone,Left,Close,2682.515,2151.87,530.645,0
Momote,1,30,1,30,Phone,Top,Far,4260.68,3531.519,729.161,0
Momote,1,31,2,1,MoMote,Top,Close,7565.59,6658.079,907.511,0
Momote,1,32,2,2,MoMote,Top,Far,5244.519,4437.587,806.932,0
Momote,1,33,2,3,MoMote,Back,Close,4740.806,3329.27,1411.536,0
Momote,1,34,2,4,MoMote,Back,Far,5547.818,4135.528,1412.29,0
Momote,1,35,2,5,MoMote,Right,Close,9380.346,7766.989,1613.357,0
Momote,1,36,2,6,MoMote,Bottom,Far,11499.108,10590.662,908.446,0
Momote,1,37,2,7,MoMote,Right,Far,7362.655,6051.766,1310.889,0
Momote,1,38,2,8,MoMote,Left,Close,3833.527,2521.617,1311.91,0
Momote,1,39,2,9,MoMote,Back,Normal,4336.25,3328.356,1007.894,0
Momote,1,40,2,10,MoMote,Bottom,Normal,5349.33,4136.398,1212.932,0
Momote,1,41,2,11,MoMote,Left,Far,7562.195,5948.364,1613.831,0
Momote,1,42,2,12,MoMote,Right,Normal,5749.902,4842.452,907.45,0
Momote,1,43,2,13,MoMote,Bottom,Close,5546.71,4841.021,705.689,0
Momote,1,44,2,14,MoMote,Top,Normal,3833.078,2320.187,1512.891,0
Momote,1,45,2,15,MoMote,Left,Normal,7968.232,6758.527,1209.705,0
Momote,1,46,2,16,MoMote,Right,Far,10087.03,9280.017,807.013,0
Momote,1,47,2,17,MoMote,Back,Normal,3530.289,2824.746,705.543,0
Momote,1,48,2,18,MoMote,Bottom,Close,6859.173,5547.069,1312.104,0
Momote,1,49,2,19,MoMote,Left,Normal,2521.284,1814.223,707.061,0
Momote,1,50,2,20,MoMote,Back,Far,5143.861,4034.02,1109.841,0
Momote,1,51,2,21,MoMote,Right,Normal,6152.755,4437.749,1715.006,0
Momote,1,52,2,22,MoMote,Bottom,Far,17147.581,15938.116,1209.465,1
Momote,1,53,2,23,MoMote,Top,Close,2824.782,1916.946,907.836,0
Momote,1,54,2,24,MoMote,Top,Normal,2218.509,1512.767,705.742,0
Momote,1,55,2,25,MoMote,Left,Far,3832.818,3126.708,706.11,0
Momote,1,56,2,26,MoMote,Back,Close,3428.379,2722.478,705.901,0
Momote,1,57,2,27,MoMote,Right,Close,4640.078,3832.796,807.282,0
Momote,1,58,2,28,MoMote,Bottom,Normal,5043.625,4034.422,1009.203,0
Momote,1,59,2,29,MoMote,Left,Close,3126.791,2420.533,706.258,0
Momote,1,60,2,30,MoMote,Top,Far,3025.379,2218.556,806.823,0
Momote,2,61,1,1,MoMote,Top,Normal,8359.487,4833,3525.774,0
Momote,2,62,1,2,MoMote,Bottom,Close,7965.468,5847,2117.541,0
Momote,2,63,1,3,MoMote,Back,Normal,10692.735,7867,2824.995,0
Momote,2,64,1,4,MoMote,Left,Close,5546.454,4438,1108.427,0
Momote,2,65,1,5,MoMote,Right,Normal,7363.709,5951,1411.84,0
Momote,2,66,1,6,MoMote,Back,Close,10793.091,8473,2319.997,0
Momote,2,67,1,7,MoMote,Top,Close,10994.227,9279,1714.925,0
Momote,2,68,1,8,MoMote,Left,Normal,14828.199,13517,1310.915,1
Momote,2,69,1,9,MoMote,Back,Far,13314.195,11700,1614.015,0
Momote,2,70,1,10,MoMote,Bottom,Far,9884.918,8574,1310.734,0
Momote,2,71,1,11,MoMote,Right,Close,5143.724,3127,2016.673,0
Momote,2,72,1,12,MoMote,Right,Far,9582.962,8069,1513.479,0
Momote,2,73,1,13,MoMote,Bottom,Normal,4337.481,2319,2017.69,0
Momote,2,74,1,14,MoMote,Top,Far,13213.744,11498,1715.006,0
Momote,2,75,1,15,MoMote,Left,Far,8875.856,7867,1007.958,0
Momote,2,76,1,16,MoMote,Top,Close,10288.157,7665,2622.707,0
Momote,2,77,1,17,MoMote,Back,Far,10691.76,9279,1411.999,0
Momote,2,78,1,18,MoMote,Bottom,Normal,6758.973,5246,1512.788,0
Momote,2,79,1,19,MoMote,Left,Far,9480.385,7867,1612.789,0
Momote,2,80,1,20,MoMote,Left,Close,6455.652,4641,1814.512,0
Momote,2,81,1,21,MoMote,Right,Far,11801.906,10188,1613.828,0
Momote,2,82,1,22,MoMote,Back,Close,6456.066,4640,1815.88,0
Momote,2,83,1,23,MoMote,Top,Normal,3731.276,1814,1917.015,0
Momote,2,84,1,24,MoMote,Top,Far,8270.817,7161,1109.075,0
Momote,2,85,1,25,MoMote,Right,Close,8473.103,7666,806.817,0
Momote,2,86,1,26,MoMote,Back,Normal,4841.548,3328,1512.694,0
Momote,2,87,1,27,MoMote,Right,Normal,5244.769,4235,1009.326,0
Momote,2,88,1,28,MoMote,Bottom,Far,8674.702,7464,1210.168,0
Momote,2,89,1,29,MoMote,Left,Normal,3126.774,1916,1209.948,0
Momote,2,90,1,30,MoMote,Bottom,Close,7564.29,6152,1411.552,0
Momote,2,91,2,1,Phone,Top,Normal,4699.14,4063.614,635.526,0
Momote,2,92,2,2,Phone,Bottom,Close,5030.673,4331.258,699.415,0
Momote,2,93,2,3,Phone,Back,Normal,2898.733,2299.304,599.429,0
Momote,2,94,2,4,Phone,Left,Close,2832.749,2267.201,565.548,0
Momote,2,95,2,5,Phone,Right,Normal,4967.76,3931.064,1036.696,0
Momote,2,96,2,6,Phone,Back,Close,4253.377,3418.578,834.799,0
Momote,2,97,2,7,Phone,Top,Close,2761.951,2130.492,631.459,0
Momote,2,98,2,8,Phone,Left,Normal,2564.13,1864.978,699.152,0
Momote,2,99,2,9,Phone,Back,Far,8027.505,7228.86,798.645,0
Momote,2,100,2,10,Phone,Bottom,Far,9530.318,8862.755,667.563,0
Momote,2,101,2,11,Phone,Right,Close,4965.526,4333.607,631.919,0
Momote,2,102,2,12,Phone,Right,Far,8620.735,7887.665,733.07,0
Momote,2,103,2,13,Phone,Bottom,Normal,5030.728,4465.068,565.66,0
Momote,2,104,2,14,Phone,Top,Far,7467.287,6697.773,769.514,0
Momote,2,105,2,15,Phone,Left,Far,6099.393,5498.713,600.68,0
Momote,2,106,2,16,Phone,Top,Close,2896.879,2230.693,666.186,0
Momote,2,107,2,17,Phone,Back,Far,5534.466,4900.148,634.318,0
Momote,2,108,2,18,Phone,Bottom,Normal,4498.348,3632.946,865.402,0
Momote,2,109,2,19,Phone,Left,Far,5092.419,4364.597,727.822,0
Momote,2,110,2,20,Phone,Left,Close,3028.307,2296.197,732.11,0
Momote,2,111,2,21,Phone,Right,Far,7297.651,6430.945,866.706,0
Momote,2,112,2,22,Phone,Back,Close,3399.862,2665.039,734.823,0
Momote,2,113,2,23,Phone,Top,Normal,3164.366,2462.716,701.65,0
Momote,2,114,2,24,Phone,Top,Far,6165.419,5598.598,566.821,0
Momote,2,115,2,25,Phone,Right,Close,4299.949,3464.1,835.849,0
Momote,2,116,2,26,Phone,Back,Normal,3266.201,2665.048,601.153,0
Momote,2,117,2,27,Phone,Right,Normal,4997.552,4265.552,732,0
Momote,2,118,2,28,Phone,Bottom,Far,6766.79,6065.604,701.186,0
Momote,2,119,2,29,Phone,Left,Normal,2962.948,2063.126,899.822,0
Momote,2,120,2,30,Phone,Bottom,Close,4335.607,3635.555,700.052,0
Momote,3,121,1,1,Phone,Top,Far,3800.085,3198.833,601.252,0
Momote,3,122,1,2,Phone,Bottom,Normal,5065.373,4398.135,667.238,0
Momote,3,123,1,3,Phone,Back,Far,6464.648,5930.823,533.825,0
Momote,3,124,1,4,Phone,Left,Normal,4031.22,3432.453,598.767,0
Momote,3,125,1,5,Phone,Right,Far,9382.493,8749.354,633.139,0
Momote,3,126,1,6,Phone,Back,Normal,3530.127,2964.285,565.842,0
Momote,3,127,1,7,Phone,Top,Normal,2500.138,1930.704,569.434,0
Momote,3,128,1,8,Phone,Left,Far,9165.292,8631.91,533.382,0
Momote,3,129,1,9,Phone,Left,Close,3330.924,2765.184,565.74,0
Momote,3,130,1,10,Phone,Back,Close,4915.952,4116.747,799.205,0
Momote,3,131,1,11,Phone,Right,Normal,2465.726,1932.375,533.351,0
Momote,3,132,1,12,Phone,Top,Close,3913.868,2713.082,1200.786,0
Momote,3,133,1,13,Phone,Bottom,Far,10163.576,9596.393,567.183,0
Momote,3,134,1,14,Phone,Bottom,Close,6098.42,5131.595,966.825,0
Momote,3,135,1,15,Phone,Right,Close,3549.054,2916.537,632.517,0
Momote,3,136,1,16,Phone,Top,Normal,2234.475,1701.829,532.646,0
Momote,3,137,1,17,Phone,Left,Close,4364.053,3829.396,534.657,0
Momote,3,138,1,18,Phone,Bottom,Far,7400.38,6832.414,567.966,0
Momote,3,139,1,19,Phone,Right,Close,2866.051,2264.704,601.347,0
Momote,3,140,1,20,Phone,Left,Normal,4431.312,3498.452,932.86,0
Momote,3,141,1,21,Phone,Top,Close,2963.28,2430.163,533.117,0
Momote,3,142,1,22,Phone,Back,Normal,2830.279,2264.972,565.307,0
Momote,3,143,1,23,Phone,Top,Far,5568.175,5001.194,566.981,0
Momote,3,144,1,24,Phone,Bottom,Close,4731.955,4166.745,565.21,0
Momote,3,145,1,25,Phone,Right,Normal,5630.613,4801.23,829.383,0
Momote,3,146,1,26,Phone,Back,Far,6195.65,5633.197,562.453,0
Momote,3,147,1,27,Phone,Right,Far,6000.577,5265.253,735.324,0
Momote,3,148,1,28,Phone,Back,Close,3596.625,2930.308,666.317,0
Momote,3,149,1,29,Phone,Left,Far,8264.189,7463.866,800.323,0
Momote,3,150,1,30,Phone,Bottom,Normal,4797.65,4231.375,566.275,0
Momote,3,151,2,1,MoMote,Top,Far,25105.215,23592,1512.685,1
Momote,3,152,2,2,MoMote,Bottom,Normal,6455.665,4841,1613.941,0
Momote,3,153,2,3,MoMote,Back,Far,11499.007,10388,1110.101,0
Momote,3,154,2,4,MoMote,Left,Normal,6757.677,4941,1816.071,0
Momote,3,155,2,5,MoMote,Right,Far,7867.676,6354,1512.999,0
Momote,3,156,2,6,MoMote,Back,Normal,4740.946,3227,1513.021,0
Momote,3,157,2,7,MoMote,Top,Normal,3529.807,1915,1613.814,0
Momote,3,158,2,8,MoMote,Left,Far,11700.643,9582,2117.694,0
Momote,3,159,2,9,MoMote,Left,Close,8775.882,7061,1714.801,0
Momote,3,160,2,10,MoMote,Back,Close,6656.619,5043,1612.796,0
Momote,3,161,2,11,MoMote,Right,Normal,3430.007,2421,1008.787,0
Momote,3,162,2,12,MoMote,Top,Close,4841.72,3530,1311.14,0
